requirement_id,site_id,stakeholder_group,decision_need,reporting_cadence,tool_target,source_system,priority,acceptance_criteria,status,site_name,market,delivery_risk_score
REQ-0018,SITE-006,Executive leadership,Monthly value scorecard,Weekly,Power BI,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",Backlog,Central Brooklyn Youth Hub 1,Central Brooklyn,68.7
REQ-0024,SITE-008,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Airtable + SIS export,P1,Matches source totals within 1 percent,Backlog,Central Brooklyn Youth Hub 3,Central Brooklyn,68.6
REQ-0014,SITE-005,Executive leadership,Monthly value scorecard,Weekly,Power BI,Salesforce + DOE extract,P1,Exports cleanly for leadership readout,Backlog,South Bronx Youth Hub 5,South Bronx,68.5
REQ-0031,SITE-011,Site coordinators,Daily attendance exception list,Monthly,Excel,PowerSchool export,P1,"Filters by market, program model, and school level",Backlog,Northern Queens Youth Hub 1,Northern Queens,68.4
REQ-0026,SITE-009,Finance partners,Budget variance and value realization,Monthly,SQL mart,Airtable + SIS export,P1,Exports cleanly for leadership readout,Backlog,Central Brooklyn Youth Hub 4,Central Brooklyn,68.3
REQ-0055,SITE-019,Partnerships,Launch readiness and partner reporting,Daily,Power BI,Google Sheets intake,P1,Matches source totals within 1 percent,Backlog,Upper Manhattan Youth Hub 4,Upper Manhattan,68.3
REQ-0082,SITE-028,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Partner CSV intake,P1,"Includes owner, due date, and exception reason",Backlog,Anchorage Launch Youth Hub 3,Anchorage Launch,68.2
REQ-0061,SITE-021,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Excel tracker,P1,Matches source totals within 1 percent,Backlog,Staten Island Youth Hub 1,Staten Island,67.9
REQ-0071,SITE-024,Executive leadership,Monthly value scorecard,Monthly,Power BI,Excel tracker,P1,Exports cleanly for leadership readout,Backlog,Staten Island Youth Hub 4,Staten Island,67.6
REQ-0069,SITE-023,Site coordinators,Daily attendance exception list,Monthly,Excel,Excel tracker,P1,Matches source totals within 1 percent,Backlog,Staten Island Youth Hub 3,Staten Island,67.5
REQ-0019,SITE-007,Finance partners,Budget variance and value realization,Daily,SQL mart,Airtable + SIS export,P0,Matches source totals within 1 percent,In review,Central Brooklyn Youth Hub 2,Central Brooklyn,65.6
REQ-0066,SITE-022,Program directors,Weekly site action queue,Monthly,Tableau,Excel tracker,P0,"Includes owner, due date, and exception reason",In review,Staten Island Youth Hub 2,Staten Island,65.1
REQ-0002,SITE-001,Site coordinators,Daily attendance exception list,Weekly,Excel,Salesforce + DOE extract,P0,Matches source totals within 1 percent,In review,South Bronx Youth Hub 1,South Bronx,64.6
REQ-0007,SITE-003,Program directors,Weekly site action queue,Weekly,Tableau,Salesforce + DOE extract,P1,"Filters by market, program model, and school level",In build,South Bronx Youth Hub 3,South Bronx,60.8
REQ-0040,SITE-014,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,PowerSchool export,P1,"Filters by market, program model, and school level",In build,Northern Queens Youth Hub 4,Northern Queens,60.6
REQ-0041,SITE-014,Program directors,Weekly site action queue,Monthly,Tableau,PowerSchool export,P1,Exports cleanly for leadership readout,In build,Northern Queens Youth Hub 4,Northern Queens,60.6
REQ-0042,SITE-014,Finance partners,Budget variance and value realization,Monthly,SQL mart,PowerSchool export,P1,"Includes owner, due date, and exception reason",In build,Northern Queens Youth Hub 4,Northern Queens,60.6
REQ-0052,SITE-018,Site coordinators,Daily attendance exception list,Daily,Excel,Google Sheets intake,P1,Exports cleanly for leadership readout,In build,Upper Manhattan Youth Hub 3,Upper Manhattan,60.6
REQ-0084,SITE-028,Finance partners,Budget variance and value realization,Monthly,SQL mart,Partner CSV intake,P1,"Includes owner, due date, and exception reason",In build,Anchorage Launch Youth Hub 3,Anchorage Launch,60.2
REQ-0064,SITE-022,Executive leadership,Monthly value scorecard,Daily,Power BI,Excel tracker,P1,"Filters by market, program model, and school level",In build,Staten Island Youth Hub 2,Staten Island,60.1
REQ-0076,SITE-026,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,Partner CSV intake,P1,Exports cleanly for leadership readout,In build,Anchorage Launch Youth Hub 1,Anchorage Launch,60.1
REQ-0068,SITE-023,Finance partners,Budget variance and value realization,Daily,SQL mart,Excel tracker,P1,Matches source totals within 1 percent,In build,Staten Island Youth Hub 3,Staten Island,59.5
REQ-0029,SITE-010,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",In build,Central Brooklyn Youth Hub 5,Central Brooklyn,59.4
REQ-0017,SITE-006,Program directors,Weekly site action queue,Daily,Tableau,Airtable + SIS export,P0,"Filters by market, program model, and school level",Accepted,Central Brooklyn Youth Hub 1,Central Brooklyn,57.7
REQ-0020,SITE-007,Partnerships,Launch readiness and partner reporting,Weekly,Power BI,Airtable + SIS export,P0,Matches source totals within 1 percent,Accepted,Central Brooklyn Youth Hub 2,Central Brooklyn,57.6
REQ-0043,SITE-015,Finance partners,Budget variance and value realization,Daily,SQL mart,PowerSchool export,P0,"Filters by market, program model, and school level",Accepted,Northern Queens Youth Hub 5,Northern Queens,57.6
REQ-0065,SITE-022,Site coordinators,Daily attendance exception list,Daily,Excel,Excel tracker,P0,Exports cleanly for leadership readout,Accepted,Staten Island Youth Hub 2,Staten Island,57.1
REQ-0010,SITE-004,Finance partners,Budget variance and value realization,Monthly,SQL mart,Salesforce + DOE extract,P0,Matches source totals within 1 percent,Accepted,South Bronx Youth Hub 4,South Bronx,56.5
REQ-0027,SITE-009,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Airtable + SIS export,P2,"Filters by market, program model, and school level",Backlog,Central Brooklyn Youth Hub 4,Central Brooklyn,55.3
REQ-0056,SITE-019,Site coordinators,Daily attendance exception list,Biweekly,Excel,Google Sheets intake,P2,"Filters by market, program model, and school level",Backlog,Upper Manhattan Youth Hub 4,Upper Manhattan,55.3
REQ-0046,SITE-016,Program directors,Weekly site action queue,Biweekly,Tableau,Google Sheets intake,P2,"Includes owner, due date, and exception reason",Backlog,Upper Manhattan Youth Hub 1,Upper Manhattan,54.9
REQ-0063,SITE-021,Site coordinators,Daily attendance exception list,Monthly,Excel,Excel tracker,P2,Exports cleanly for leadership readout,Backlog,Staten Island Youth Hub 1,Staten Island,54.9
REQ-0004,SITE-002,Executive leadership,Monthly value scorecard,Daily,Power BI,Salesforce + DOE extract,P2,"Includes owner, due date, and exception reason",Backlog,South Bronx Youth Hub 2,South Bronx,54.5
REQ-0028,SITE-010,Finance partners,Budget variance and value realization,Biweekly,SQL mart,Airtable + SIS export,P2,Matches source totals within 1 percent,Backlog,Central Brooklyn Youth Hub 5,Central Brooklyn,54.4
REQ-0036,SITE-012,Partnerships,Launch readiness and partner reporting,Daily,Power BI,PowerSchool export,P2,Exports cleanly for leadership readout,Backlog,Northern Queens Youth Hub 2,Northern Queens,54.4
REQ-0009,SITE-003,Site coordinators,Daily attendance exception list,Weekly,Excel,Salesforce + DOE extract,P1,"Includes owner, due date, and exception reason",In review,South Bronx Youth Hub 3,South Bronx,52.8
REQ-0021,SITE-007,Executive leadership,Monthly value scorecard,Daily,Power BI,Airtable + SIS export,P1,Exports cleanly for leadership readout,In review,Central Brooklyn Youth Hub 2,Central Brooklyn,52.6
REQ-0022,SITE-008,Program directors,Weekly site action queue,Monthly,Tableau,Airtable + SIS export,P1,"Includes owner, due date, and exception reason",In review,Central Brooklyn Youth Hub 3,Central Brooklyn,52.6
REQ-0044,SITE-015,Executive leadership,Monthly value scorecard,Weekly,Power BI,PowerSchool export,P1,Exports cleanly for leadership readout,In review,Northern Queens Youth Hub 5,Northern Queens,52.6
REQ-0045,SITE-015,Partnerships,Launch readiness and partner reporting,Monthly,Power BI,PowerSchool export,P1,"Filters by market, program model, and school level",In review,Northern Queens Youth Hub 5,Northern Queens,52.6
REQ-0025,SITE-009,Site coordinators,Daily attendance exception list,Monthly,Excel,Airtable + SIS export,P1,"Filters by market, program model, and school level",In review,Central Brooklyn Youth Hub 4,Central Brooklyn,52.3
REQ-0081,SITE-027,Partnerships,Launch readiness and partner reporting,Daily,Power BI,Partner CSV intake,P1,Exports cleanly for leadership readout,In review,Anchorage Launch Youth Hub 2,Anchorage Launch,52.3
REQ-0083,SITE-028,Site coordinators,Daily attendance exception list,Monthly,Excel,Partner CSV intake,P1,"Includes owner, due date, and exception reason",In review,Anchorage Launch Youth Hub 3,Anchorage Launch,52.2
REQ-0037,SITE-013,Program directors,Weekly site action queue,Weekly,Tableau,PowerSchool export,P1,"Includes owner, due date, and exception reason",In review,Northern Queens Youth Hub 3,Northern Queens,52.1
REQ-0039,SITE-013,Partnerships,Launch readiness and partner reporting,Daily,Power BI,PowerSchool export,P1,Exports cleanly for leadership readout,In review,Northern Queens Youth Hub 3,Northern Queens,52.1
REQ-0078,SITE-026,Executive leadership,Monthly value scorecard,Monthly,Power BI,Partner CSV intake,P1,Exports cleanly for leadership readout,In review,Anchorage Launch Youth Hub 1,Anchorage Launch,52.1
REQ-0047,SITE-016,Partnerships,Launch readiness and partner reporting,Weekly,Power BI,Google Sheets intake,P1,"Includes owner, due date, and exception reason",In review,Upper Manhattan Youth Hub 1,Upper Manhattan,51.9
REQ-0048,SITE-016,Finance partners,Budget variance and value realization,Weekly,SQL mart,Google Sheets intake,P1,"Filters by market, program model, and school level",In review,Upper Manhattan Youth Hub 1,Upper Manhattan,51.9
REQ-0049,SITE-017,Program directors,Weekly site action queue,Weekly,Tableau,Google Sheets intake,P1,Exports cleanly for leadership readout,In review,Upper Manhattan Youth Hub 2,Upper Manhattan,51.4
REQ-0051,SITE-017,Executive leadership,Monthly value scorecard,Daily,Power BI,Google Sheets intake,P1,Exports cleanly for leadership readout,In review,Upper Manhattan Youth Hub 2,Upper Manhattan,51.4
REQ-0075,SITE-025,Finance partners,Budget variance and value realization,Monthly,SQL mart,Excel tracker,P1,Matches source totals within 1 percent,In review,Staten Island Youth Hub 5,Staten Island,51.4
REQ-0079,SITE-027,Finance partners,Budget variance and value realization,Weekly,SQL mart,Partner CSV intake,P2,"Includes owner, due date, and exception reason",In build,Anchorage Launch Youth Hub 2,Anchorage Launch,47.3
REQ-0077,SITE-026,Site coordinators,Daily attendance exception list,Monthly,Excel,Partner CSV intake,P2,"Filters by market, program model, and school level",In build,Anchorage Launch Youth Hub 1,Anchorage Launch,47.1
REQ-0003,SITE-001,Partnerships,Launch readiness and partner reporting,Biweekly,Power BI,Salesforce + DOE extract,P2,Matches source totals within 1 percent,In build,South Bronx Youth Hub 1,South Bronx,46.6
REQ-0006,SITE-002,Program directors,Weekly site action queue,Monthly,Tableau,Salesforce + DOE extract,P2,"Filters by market, program model, and school level",In build,South Bronx Youth Hub 2,South Bronx,46.5
REQ-0059,SITE-020,Finance partners,Budget variance and value realization,Daily,SQL mart,Google Sheets intake,P1,"Filters by market, program model, and school level",Accepted,Upper Manhattan Youth Hub 5,Upper Manhattan,44.9
REQ-0023,SITE-008,Site coordinators,Daily attendance exception list,Weekly,Excel,Airtable + SIS export,P1,Exports cleanly for leadership readout,Accepted,Central Brooklyn Youth Hub 3,Central Brooklyn,44.6
REQ-0015,SITE-005,Site coordinators,Daily attendance exception list,Monthly,Excel,Salesforce + DOE extract,P1,"Filters by market, program model, and school level",Accepted,South Bronx Youth Hub 5,South Bronx,44.5
REQ-0033,SITE-011,Finance partners,Budget variance and value realization,Monthly,SQL mart,PowerSchool export,P1,Matches source totals within 1 percent,Accepted,Northern Queens Youth Hub 1,Northern Queens,44.4
REQ-0038,SITE-013,Site coordinators,Daily attendance exception list,Biweekly,Excel,PowerSchool export,P1,Exports cleanly for leadership readout,Accepted,Northern Queens Youth Hub 3,Northern Queens,44.1
REQ-0062,SITE-021,Program directors,Weekly site action queue,Monthly,Tableau,Excel tracker,P1,"Filters by market, program model, and school level",Accepted,Staten Island Youth Hub 1,Staten Island,43.9
REQ-0067,SITE-023,Executive leadership,Monthly value scorecard,Biweekly,Power BI,Excel tracker,P1,"Includes owner, due date, and exception reason",Accepted,Staten Island Youth Hub 3,Staten Island,43.5
REQ-0034,SITE-012,Program directors,Weekly site action queue,Weekly,Tableau,PowerSchool export,P1,"Filters by market, program model, and school level",Accepted,Northern Queens Youth Hub 2,Northern Queens,43.4
REQ-0050,SITE-017,Site coordinators,Daily attendance exception list,Daily,Excel,Google Sheets intake,P1,"Includes owner, due date, and exception reason",Accepted,Upper Manhattan Youth Hub 2,Upper Manhattan,43.4
REQ-0053,SITE-018,Executive leadership,Monthly value scorecard,Weekly,Power BI,Google Sheets intake,P2,Matches source totals within 1 percent,In review,Upper Manhattan Youth Hub 3,Upper Manhattan,39.6
REQ-0005,SITE-002,Finance partners,Budget variance and value realization,Biweekly,SQL mart,Salesforce + DOE extract,P2,Matches source totals within 1 percent,In review,South Bronx Youth Hub 2,South Bronx,38.5
REQ-0074,SITE-025,Site coordinators,Daily attendance exception list,Weekly,Excel,Excel tracker,P2,Exports cleanly for leadership readout,In review,Staten Island Youth Hub 5,Staten Island,38.4
REQ-0013,SITE-005,Program directors,Weekly site action queue,Weekly,Tableau,Salesforce + DOE extract,P2,"Includes owner, due date, and exception reason",Accepted,South Bronx Youth Hub 5,South Bronx,31.5
REQ-0080,SITE-027,Executive leadership,Monthly value scorecard,Monthly,Power BI,Partner CSV intake,P2,"Filters by market, program model, and school level",Accepted,Anchorage Launch Youth Hub 2,Anchorage Launch,31.3
REQ-0030,SITE-010,Site coordinators,Daily attendance exception list,Biweekly,Excel,Airtable + SIS export,P2,"Includes owner, due date, and exception reason",Accepted,Central Brooklyn Youth Hub 5,Central Brooklyn,30.4
