scenario_id,site_id,scenario_name,attendance_lift_pp,staff_coverage_lift_pp,cost_change_pct,weekly_hours_saved,confidence
SITE-018-bi-automation,SITE-018,BI automation,0.013,0.02,-0.014,8.2,0.76
SITE-018-staff-coverage-sprint,SITE-018,Staff coverage sprint,0.022,0.065,0.033,2.9,0.79
SITE-018-wellness-expansion,SITE-018,Wellness expansion,0.029,0.023,0.032,1.5,0.7
SITE-019-baseline,SITE-019,Baseline,0.005,0.0,-0.002,0,0.81
SITE-019-attendance-push,SITE-019,Attendance push,0.051,0.008,0.014,4.2,0.63
SITE-019-bi-automation,SITE-019,BI automation,0.012,0.021,-0.007,8.0,0.77
SITE-019-staff-coverage-sprint,SITE-019,Staff coverage sprint,0.03,0.064,0.027,2.8,0.71
SITE-019-wellness-expansion,SITE-019,Wellness expansion,0.02,0.015,0.036,1.7,0.63
SITE-020-baseline,SITE-020,Baseline,0.0,-0.003,-0.003,0,0.61
SITE-020-attendance-push,SITE-020,Attendance push,0.055,0.016,0.02,2.9,0.6
SITE-020-bi-automation,SITE-020,BI automation,0.021,0.026,-0.012,8.3,0.87
SITE-020-staff-coverage-sprint,SITE-020,Staff coverage sprint,0.032,0.06,0.028,3.0,0.89
SITE-020-wellness-expansion,SITE-020,Wellness expansion,0.022,0.019,0.029,2.0,0.86
SITE-021-baseline,SITE-021,Baseline,0.004,-0.001,-0.006,0.7,0.59
SITE-021-attendance-push,SITE-021,Attendance push,0.059,0.009,0.014,3.7,0.78
SITE-021-bi-automation,SITE-021,BI automation,0.021,0.024,-0.016,7.6,0.76
SITE-021-staff-coverage-sprint,SITE-021,Staff coverage sprint,0.027,0.061,0.025,2.6,0.62
SITE-021-wellness-expansion,SITE-021,Wellness expansion,0.031,0.02,0.037,1.6,0.8
SITE-022-baseline,SITE-022,Baseline,0.002,0.004,0.0,0,0.69
SITE-022-attendance-push,SITE-022,Attendance push,0.063,0.014,0.02,4.2,0.81
SITE-022-bi-automation,SITE-022,BI automation,0.02,0.024,-0.011,7.3,0.61
SITE-022-staff-coverage-sprint,SITE-022,Staff coverage sprint,0.03,0.067,0.027,1.6,0.77
SITE-022-wellness-expansion,SITE-022,Wellness expansion,0.028,0.017,0.036,1.4,0.66
SITE-023-baseline,SITE-023,Baseline,-0.005,-0.005,-0.003,0.5,0.77
SITE-023-attendance-push,SITE-023,Attendance push,0.056,0.012,0.015,2.7,0.6
SITE-023-bi-automation,SITE-023,BI automation,0.02,0.023,-0.017,8.4,0.48
SITE-023-staff-coverage-sprint,SITE-023,Staff coverage sprint,0.033,0.066,0.03,2.8,0.56
SITE-023-wellness-expansion,SITE-023,Wellness expansion,0.031,0.014,0.038,0.7,0.77
SITE-024-baseline,SITE-024,Baseline,0.005,0.002,-0.005,0,0.63
SITE-024-attendance-push,SITE-024,Attendance push,0.057,0.013,0.023,2.6,0.58
SITE-024-bi-automation,SITE-024,BI automation,0.017,0.024,-0.006,7.9,0.48
SITE-024-staff-coverage-sprint,SITE-024,Staff coverage sprint,0.032,0.069,0.034,2.9,0.79
SITE-024-wellness-expansion,SITE-024,Wellness expansion,0.025,0.021,0.029,2.3,0.81
SITE-025-baseline,SITE-025,Baseline,0.001,0.001,-0.002,0.2,0.94
SITE-025-attendance-push,SITE-025,Attendance push,0.06,0.02,0.015,2.9,0.67
SITE-025-bi-automation,SITE-025,BI automation,0.026,0.027,-0.01,7.7,0.61
SITE-025-staff-coverage-sprint,SITE-025,Staff coverage sprint,0.028,0.063,0.022,1.7,0.7
SITE-025-wellness-expansion,SITE-025,Wellness expansion,0.03,0.021,0.033,1.4,0.84
SITE-026-baseline,SITE-026,Baseline,-0.006,-0.002,-0.005,0.5,0.61
SITE-026-attendance-push,SITE-026,Attendance push,0.05,0.011,0.012,4.2,0.64
SITE-026-bi-automation,SITE-026,BI automation,0.026,0.018,-0.011,7.8,0.84
SITE-026-staff-coverage-sprint,SITE-026,Staff coverage sprint,0.029,0.064,0.031,1.6,0.73
SITE-026-wellness-expansion,SITE-026,Wellness expansion,0.026,0.01,0.033,1.9,0.87
SITE-027-baseline,SITE-027,Baseline,0.009,-0.0,-0.005,0.5,0.79
SITE-027-attendance-push,SITE-027,Attendance push,0.055,0.011,0.019,3.3,0.88
SITE-027-bi-automation,SITE-027,BI automation,0.012,0.014,-0.007,7.9,0.77
SITE-027-staff-coverage-sprint,SITE-027,Staff coverage sprint,0.032,0.065,0.023,2.4,0.75
SITE-027-wellness-expansion,SITE-027,Wellness expansion,0.03,0.016,0.037,1.5,0.8
SITE-028-baseline,SITE-028,Baseline,-0.005,-0.004,0.005,0.2,0.71
SITE-028-attendance-push,SITE-028,Attendance push,0.06,0.017,0.017,3.6,0.88
SITE-028-bi-automation,SITE-028,BI automation,0.021,0.015,-0.016,6.9,0.77
SITE-028-staff-coverage-sprint,SITE-028,Staff coverage sprint,0.026,0.064,0.033,1.8,0.58
SITE-028-wellness-expansion,SITE-028,Wellness expansion,0.017,0.014,0.037,1.1,0.73
