initiative_id,site_id,workstream,initiative_name,target_metric,expected_value_usd,expected_outcome,effort_hours,owner_team,project_methodology,phase,status,start_week,due_week
BVT-004-3,SITE-004,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,188524,wellness participation lift,248,Analytics,DMAIC improvement cycle,Scale,On track,2026-W08,2026-W21
BVT-005-1,SITE-005,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,101198,wellness participation lift,199,Finance,RACI tracker,Sustain,Blocked,2026-W11,2026-W15
BVT-005-2,SITE-005,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,50272,weekly attendance lift,123,Partnerships,RACI tracker,Pilot,At risk,2026-W10,2026-W17
BVT-005-3,SITE-005,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,99322,family engagement lift,214,Program Ops,DMAIC improvement cycle,Pilot,Ready for review,2026-W12,2026-W18
BVT-006-1,SITE-006,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,96207,wellness participation lift,138,Site Leadership,DMAIC improvement cycle,Discovery,At risk,2026-W08,2026-W17
BVT-006-2,SITE-006,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,114732,coverage gap reduction,209,Site Leadership,RACI tracker,Sustain,At risk,2026-W11,2026-W17
BVT-006-3,SITE-006,Reporting Automation,STEM and Coding reporting automation plan,data_completeness_rate,129623,manual reporting hours removed,219,Analytics,RACI tracker,Pilot,On track,2026-W12,2026-W19
BVT-007-1,SITE-007,Reporting Automation,College and Career reporting automation plan,data_completeness_rate,58328,manual reporting hours removed,344,Program Ops,RACI tracker,Scale,Ready for review,2026-W09,2026-W16
BVT-007-2,SITE-007,Program Mix Optimization,College and Career program mix optimization plan,engagement_rate,154550,student engagement lift,140,Site Leadership,Agile sprint board,Scale,At risk,2026-W12,2026-W15
BVT-007-3,SITE-007,Attendance Recovery,College and Career attendance recovery plan,attendance_rate,65920,weekly attendance lift,159,Finance,Milestone waterfall,Design,On track,2026-W11,2026-W16
BVT-008-1,SITE-008,Family Outreach,College and Career family outreach plan,family_touchpoints,54730,family engagement lift,226,Partnerships,DMAIC improvement cycle,Design,At risk,2026-W12,2026-W19
BVT-008-2,SITE-008,Staffing Model,College and Career staffing model plan,staff_coverage_rate,158861,coverage gap reduction,225,Finance,DMAIC improvement cycle,Pilot,On track,2026-W11,2026-W21
BVT-008-3,SITE-008,Sports Wellness Expansion,College and Career sports wellness expansion plan,sports_wellness_participation_rate,91869,wellness participation lift,184,Partnerships,Milestone waterfall,Scale,At risk,2026-W12,2026-W18
BVT-009-1,SITE-009,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,146393,manual reporting hours removed,301,Program Ops,RACI tracker,Sustain,On track,2026-W12,2026-W19
BVT-009-2,SITE-009,Staffing Model,Academic Enrichment staffing model plan,staff_coverage_rate,115092,coverage gap reduction,231,Analytics,Agile sprint board,Scale,Blocked,2026-W10,2026-W20
BVT-009-3,SITE-009,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,168621,student engagement lift,402,Finance,Milestone waterfall,Scale,On track,2026-W09,2026-W15
BVT-010-1,SITE-010,Staffing Model,Sports and Wellness staffing model plan,staff_coverage_rate,79498,coverage gap reduction,162,Program Ops,RACI tracker,Discovery,Blocked,2026-W12,2026-W21
BVT-010-2,SITE-010,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,97843,manual reporting hours removed,258,Finance,Agile sprint board,Pilot,At risk,2026-W08,2026-W18
BVT-010-3,SITE-010,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,127694,weekly attendance lift,406,Program Ops,Milestone waterfall,Discovery,Ready for review,2026-W11,2026-W17
BVT-011-1,SITE-011,Family Outreach,College and Career family outreach plan,family_touchpoints,120168,family engagement lift,380,Site Leadership,Milestone waterfall,Sustain,On track,2026-W08,2026-W19
BVT-011-2,SITE-011,Reporting Automation,College and Career reporting automation plan,data_completeness_rate,173009,manual reporting hours removed,344,Analytics,DMAIC improvement cycle,Discovery,On track,2026-W10,2026-W16
BVT-011-3,SITE-011,Sports Wellness Expansion,College and Career sports wellness expansion plan,sports_wellness_participation_rate,92646,wellness participation lift,180,Analytics,DMAIC improvement cycle,Sustain,Ready for review,2026-W10,2026-W15
BVT-012-1,SITE-012,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,149674,weekly attendance lift,204,Site Leadership,DMAIC improvement cycle,Design,On track,2026-W11,2026-W16
BVT-012-2,SITE-012,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,117059,family engagement lift,104,Finance,RACI tracker,Pilot,Ready for review,2026-W08,2026-W21
BVT-012-3,SITE-012,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,129652,student engagement lift,286,Finance,Milestone waterfall,Discovery,Blocked,2026-W09,2026-W15
BVT-013-1,SITE-013,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,167517,weekly attendance lift,375,Partnerships,Milestone waterfall,Scale,Ready for review,2026-W08,2026-W16
BVT-013-2,SITE-013,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,91250,family engagement lift,258,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W09,2026-W17
BVT-013-3,SITE-013,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,60506,student engagement lift,111,Partnerships,Milestone waterfall,Sustain,Ready for review,2026-W09,2026-W20
BVT-014-1,SITE-014,Reporting Automation,STEM and Coding reporting automation plan,data_completeness_rate,131369,manual reporting hours removed,109,Partnerships,DMAIC improvement cycle,Discovery,At risk,2026-W09,2026-W20
BVT-014-2,SITE-014,Program Mix Optimization,STEM and Coding program mix optimization plan,engagement_rate,44185,student engagement lift,191,Site Leadership,Milestone waterfall,Scale,Blocked,2026-W11,2026-W20
BVT-014-3,SITE-014,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,144482,family engagement lift,314,Analytics,DMAIC improvement cycle,Discovery,Ready for review,2026-W09,2026-W17
BVT-015-1,SITE-015,Program Mix Optimization,Music and Arts program mix optimization plan,engagement_rate,142327,student engagement lift,305,Finance,RACI tracker,Design,Ready for review,2026-W12,2026-W19
BVT-015-2,SITE-015,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,164094,wellness participation lift,130,Partnerships,DMAIC improvement cycle,Sustain,On track,2026-W12,2026-W17
BVT-015-3,SITE-015,Attendance Recovery,Music and Arts attendance recovery plan,attendance_rate,137927,weekly attendance lift,155,Site Leadership,RACI tracker,Scale,At risk,2026-W11,2026-W15
BVT-016-1,SITE-016,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,137618,wellness participation lift,277,Site Leadership,RACI tracker,Scale,At risk,2026-W11,2026-W18
BVT-016-2,SITE-016,Reporting Automation,Music and Arts reporting automation plan,data_completeness_rate,183568,manual reporting hours removed,137,Finance,RACI tracker,Scale,At risk,2026-W09,2026-W19
BVT-016-3,SITE-016,Family Outreach,Music and Arts family outreach plan,family_touchpoints,166769,family engagement lift,239,Finance,Agile sprint board,Design,At risk,2026-W09,2026-W16
BVT-017-1,SITE-017,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,160503,family engagement lift,358,Site Leadership,DMAIC improvement cycle,Pilot,Blocked,2026-W09,2026-W18
BVT-017-2,SITE-017,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,164001,weekly attendance lift,167,Site Leadership,Milestone waterfall,Design,At risk,2026-W12,2026-W19
BVT-017-3,SITE-017,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,176874,manual reporting hours removed,308,Analytics,DMAIC improvement cycle,Scale,At risk,2026-W12,2026-W21
BVT-018-1,SITE-018,Program Mix Optimization,STEM and Coding program mix optimization plan,engagement_rate,92336,student engagement lift,263,Partnerships,DMAIC improvement cycle,Scale,Ready for review,2026-W12,2026-W19
BVT-018-2,SITE-018,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,54035,weekly attendance lift,162,Site Leadership,RACI tracker,Sustain,Blocked,2026-W08,2026-W19
BVT-018-3,SITE-018,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,131369,wellness participation lift,355,Analytics,Agile sprint board,Design,Ready for review,2026-W11,2026-W18
BVT-019-1,SITE-019,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,77183,weekly attendance lift,361,Analytics,Milestone waterfall,Sustain,Blocked,2026-W10,2026-W19
BVT-019-2,SITE-019,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,152273,coverage gap reduction,397,Partnerships,RACI tracker,Scale,Blocked,2026-W10,2026-W19
BVT-019-3,SITE-019,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,45393,wellness participation lift,361,Partnerships,Milestone waterfall,Discovery,On track,2026-W09,2026-W15
BVT-020-1,SITE-020,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,120987,family engagement lift,104,Finance,Milestone waterfall,Pilot,Blocked,2026-W09,2026-W15
BVT-020-2,SITE-020,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,123260,wellness participation lift,90,Analytics,Milestone waterfall,Discovery,At risk,2026-W11,2026-W20
BVT-020-3,SITE-020,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,123034,weekly attendance lift,216,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W12,2026-W16
BVT-021-1,SITE-021,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,169532,student engagement lift,411,Site Leadership,DMAIC improvement cycle,Scale,Ready for review,2026-W12,2026-W17
BVT-021-2,SITE-021,Staffing Model,Academic Enrichment staffing model plan,staff_coverage_rate,186893,coverage gap reduction,228,Analytics,RACI tracker,Scale,On track,2026-W11,2026-W20
BVT-021-3,SITE-021,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,162359,family engagement lift,326,Site Leadership,DMAIC improvement cycle,Discovery,On track,2026-W09,2026-W16
BVT-022-1,SITE-022,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,73587,wellness participation lift,364,Program Ops,RACI tracker,Scale,On track,2026-W08,2026-W21
BVT-022-2,SITE-022,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,112397,family engagement lift,246,Program Ops,Milestone waterfall,Discovery,Blocked,2026-W11,2026-W21
BVT-022-3,SITE-022,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,154524,weekly attendance lift,257,Finance,RACI tracker,Discovery,At risk,2026-W12,2026-W16
BVT-023-1,SITE-023,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,103631,manual reporting hours removed,280,Analytics,Agile sprint board,Pilot,Ready for review,2026-W08,2026-W21
BVT-023-2,SITE-023,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,180769,family engagement lift,189,Program Ops,Milestone waterfall,Pilot,On track,2026-W08,2026-W21
BVT-023-3,SITE-023,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,78420,weekly attendance lift,214,Finance,DMAIC improvement cycle,Discovery,On track,2026-W08,2026-W20
BVT-024-1,SITE-024,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,109511,wellness participation lift,367,Program Ops,Agile sprint board,Pilot,At risk,2026-W09,2026-W18
BVT-024-2,SITE-024,Program Mix Optimization,Sports and Wellness program mix optimization plan,engagement_rate,109292,student engagement lift,343,Analytics,RACI tracker,Pilot,Ready for review,2026-W12,2026-W21
BVT-024-3,SITE-024,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,47207,manual reporting hours removed,349,Partnerships,Agile sprint board,Sustain,On track,2026-W08,2026-W15
BVT-025-1,SITE-025,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,91575,weekly attendance lift,138,Analytics,Agile sprint board,Scale,At risk,2026-W11,2026-W21
BVT-025-2,SITE-025,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,177813,wellness participation lift,156,Analytics,Milestone waterfall,Pilot,Ready for review,2026-W11,2026-W17
BVT-025-3,SITE-025,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,118150,family engagement lift,367,Partnerships,RACI tracker,Scale,At risk,2026-W10,2026-W21
BVT-026-1,SITE-026,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,117621,weekly attendance lift,156,Partnerships,DMAIC improvement cycle,Design,On track,2026-W12,2026-W17
BVT-026-2,SITE-026,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,56778,manual reporting hours removed,415,Program Ops,Agile sprint board,Pilot,Blocked,2026-W08,2026-W15
BVT-026-3,SITE-026,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,63334,wellness participation lift,270,Finance,Agile sprint board,Pilot,On track,2026-W09,2026-W17
BVT-027-1,SITE-027,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,96004,family engagement lift,392,Partnerships,RACI tracker,Discovery,Blocked,2026-W12,2026-W21
BVT-027-2,SITE-027,Program Mix Optimization,Sports and Wellness program mix optimization plan,engagement_rate,42315,student engagement lift,321,Program Ops,Milestone waterfall,Discovery,At risk,2026-W12,2026-W19
BVT-027-3,SITE-027,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,101729,wellness participation lift,98,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W08,2026-W19
BVT-028-1,SITE-028,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,118508,family engagement lift,296,Program Ops,RACI tracker,Design,Ready for review,2026-W12,2026-W17
BVT-028-2,SITE-028,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,115828,wellness participation lift,191,Partnerships,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W16
BVT-028-3,SITE-028,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,120529,manual reporting hours removed,368,Analytics,RACI tracker,Sustain,Blocked,2026-W10,2026-W15
