event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0098,2026-04-08,PRO017,launch,Medium,33250
EV0099,2026-04-09,PRO016,handoff,Low,36671
EV0100,2026-04-10,PRO019,launch,Medium,44487
EV0101,2026-04-11,PRO031,qa_check,High,31691
EV0102,2026-04-12,PRO001,launch,Low,6688
EV0103,2026-04-13,PRO024,launch,Low,20486
EV0104,2026-04-14,PRO033,experiment,High,3718
EV0105,2026-04-15,PRO010,handoff,Low,18136
EV0106,2026-04-16,PRO014,exception,High,28565
EV0107,2026-04-17,PRO009,stakeholder_request,High,13671
EV0108,2026-04-18,PRO023,exception,High,10803
EV0109,2026-04-19,PRO007,experiment,Low,12015
EV0110,2026-04-20,PRO018,qa_check,Low,1766
EV0111,2026-04-21,PRO020,stakeholder_request,High,27655
EV0112,2026-04-22,PRO030,exception,Medium,2450
EV0113,2026-04-23,PRO008,qa_check,Medium,30014
EV0114,2026-04-24,PRO024,exception,High,625
EV0115,2026-04-25,PRO028,qa_check,Medium,46559
EV0116,2026-04-26,PRO011,launch,High,11173
EV0117,2026-04-27,PRO028,stakeholder_request,Low,11617
EV0118,2026-04-28,PRO004,stakeholder_request,Medium,16643
EV0119,2026-04-29,PRO024,experiment,Medium,30413
EV0120,2026-04-30,PRO007,qa_check,High,14016
EV0121,2026-05-01,PRO025,exception,Low,28329
EV0122,2026-05-02,PRO032,experiment,High,13207
EV0123,2026-05-03,PRO014,stakeholder_request,Medium,21377
EV0124,2026-05-04,PRO034,handoff,High,38766
EV0125,2026-05-05,PRO004,launch,High,29394
EV0126,2026-05-06,PRO026,qa_check,High,31811
EV0127,2026-05-07,PRO010,experiment,Medium,43956
EV0128,2026-05-08,PRO001,experiment,Low,12675
EV0129,2026-05-09,PRO012,handoff,Medium,51010
EV0130,2026-05-10,PRO029,exception,Low,40770
EV0131,2026-05-11,PRO027,launch,High,5223
EV0132,2026-05-12,PRO026,stakeholder_request,Medium,23177
EV0133,2026-05-13,PRO021,exception,Medium,13552
EV0134,2026-05-14,PRO018,experiment,High,41443
EV0135,2026-05-15,PRO002,launch,Medium,7034
EV0136,2026-05-16,PRO001,handoff,Medium,12110
EV0137,2026-05-17,PRO030,experiment,Medium,33789
EV0138,2026-05-18,PRO013,qa_check,Low,19951
EV0139,2026-05-19,PRO004,qa_check,High,40249
EV0140,2026-05-20,PRO016,handoff,Medium,36432
EV0141,2026-01-01,PRO021,stakeholder_request,Low,16101
EV0142,2026-01-02,PRO027,exception,Low,1892
EV0143,2026-01-03,PRO008,handoff,High,39450
EV0144,2026-01-04,PRO025,handoff,Medium,13938
EV0145,2026-01-05,PRO027,launch,High,16201
EV0146,2026-01-06,PRO027,stakeholder_request,Low,4065
EV0147,2026-01-07,PRO002,experiment,Low,40660
EV0148,2026-01-08,PRO023,stakeholder_request,Medium,35485
EV0149,2026-01-09,PRO015,experiment,Low,38353
EV0150,2026-01-10,PRO035,launch,Low,37687
EV0151,2026-01-11,PRO013,stakeholder_request,Medium,30063
EV0152,2026-01-12,PRO003,launch,Low,7705
EV0153,2026-01-13,PRO024,experiment,Medium,38588
EV0154,2026-01-14,PRO012,exception,High,8610
EV0155,2026-01-15,PRO027,exception,Medium,50218
EV0156,2026-01-16,PRO019,exception,High,16724
EV0157,2026-01-17,PRO013,experiment,High,30927
EV0158,2026-01-18,PRO032,stakeholder_request,High,29542
EV0159,2026-01-19,PRO021,handoff,Low,48786
EV0160,2026-01-20,PRO002,experiment,Low,22385
EV0161,2026-01-21,PRO002,stakeholder_request,High,39097
EV0162,2026-01-22,PRO025,launch,Low,11263
EV0163,2026-01-23,PRO026,experiment,High,36240
EV0164,2026-01-24,PRO003,qa_check,Low,15962
EV0165,2026-01-25,PRO023,experiment,High,48248
EV0166,2026-01-26,PRO017,launch,High,26347
EV0167,2026-01-27,PRO014,launch,Medium,37589
EV0168,2026-01-28,PRO006,handoff,High,23382
EV0169,2026-01-29,PRO013,handoff,Low,8177
EV0170,2026-01-30,PRO021,launch,High,3378
EV0171,2026-01-31,PRO035,experiment,Medium,44095
EV0172,2026-02-01,PRO033,handoff,Low,5444
EV0173,2026-02-02,PRO017,stakeholder_request,Low,42542
EV0174,2026-02-03,PRO028,stakeholder_request,High,39172
EV0175,2026-02-04,PRO028,handoff,Medium,16493
EV0176,2026-02-05,PRO023,stakeholder_request,Medium,15533
EV0177,2026-02-06,PRO002,experiment,High,40084
EV0178,2026-02-07,PRO036,exception,High,41492
EV0179,2026-02-08,PRO034,handoff,Medium,42708
EV0180,2026-02-09,PRO013,stakeholder_request,High,48344
EV0181,2026-02-10,PRO033,stakeholder_request,High,18342
EV0182,2026-02-11,PRO007,launch,High,41268
EV0183,2026-02-12,PRO006,stakeholder_request,Medium,32077
EV0184,2026-02-13,PRO016,launch,High,43099
EV0185,2026-02-14,PRO015,experiment,High,23877
EV0186,2026-02-15,PRO005,handoff,Medium,41319
EV0187,2026-02-16,PRO021,launch,High,27561
EV0188,2026-02-17,PRO018,handoff,Low,41266
EV0189,2026-02-18,PRO005,handoff,Low,32486
EV0190,2026-02-19,PRO008,stakeholder_request,Low,19566
EV0191,2026-02-20,PRO017,exception,Low,2972
EV0192,2026-02-21,PRO007,exception,Medium,35277
EV0193,2026-02-22,PRO030,experiment,High,3923
EV0194,2026-02-23,PRO013,launch,Medium,35255
EV0195,2026-02-24,PRO008,qa_check,Low,20686
EV0196,2026-02-25,PRO002,experiment,Low,23245
EV0197,2026-02-26,PRO005,launch,Medium,39616
EV0198,2026-02-27,PRO023,stakeholder_request,Medium,26175
EV0199,2026-02-28,PRO001,experiment,High,28866
EV0200,2026-03-01,PRO010,qa_check,Medium,12187
EV0201,2026-03-02,PRO019,stakeholder_request,Low,25390
EV0202,2026-03-03,PRO009,qa_check,Low,17875
EV0203,2026-03-04,PRO025,stakeholder_request,Medium,19174
EV0204,2026-03-05,PRO018,exception,High,21242
EV0205,2026-03-06,PRO033,qa_check,Low,46679
EV0206,2026-03-07,PRO012,exception,Medium,23884
EV0207,2026-03-08,PRO021,handoff,High,29999
EV0208,2026-03-09,PRO026,handoff,Medium,33385
EV0209,2026-03-10,PRO026,stakeholder_request,High,31251
EV0210,2026-03-11,PRO023,stakeholder_request,Low,48932
EV0211,2026-03-12,PRO010,stakeholder_request,Medium,46669
EV0212,2026-03-13,PRO036,handoff,High,50151
EV0213,2026-03-14,PRO015,launch,Low,9925
EV0214,2026-03-15,PRO017,handoff,Low,40663
EV0215,2026-03-16,PRO016,stakeholder_request,Medium,4670
EV0216,2026-03-17,PRO010,handoff,Low,43353
EV0217,2026-03-18,PRO022,qa_check,Medium,16787
EV0218,2026-03-19,PRO018,exception,High,47361
EV0219,2026-03-20,PRO025,stakeholder_request,Medium,50369
EV0220,2026-03-21,PRO013,experiment,High,9796
EV0221,2026-03-22,PRO020,exception,Medium,40911
EV0222,2026-03-23,PRO016,exception,High,15161
EV0223,2026-03-24,PRO011,stakeholder_request,Medium,29228
EV0224,2026-03-25,PRO016,exception,Medium,26003
EV0225,2026-03-26,PRO010,launch,Medium,29580
EV0226,2026-03-27,PRO001,stakeholder_request,High,48775
EV0227,2026-03-28,PRO004,launch,Medium,4027
EV0228,2026-03-29,PRO007,experiment,High,45427
EV0229,2026-03-30,PRO006,exception,Low,45998
EV0230,2026-03-31,PRO026,exception,High,2706
EV0231,2026-04-01,PRO010,stakeholder_request,Medium,579
EV0232,2026-04-02,PRO013,handoff,High,4677
EV0233,2026-04-03,PRO031,qa_check,High,15018
EV0234,2026-04-04,PRO022,handoff,Low,50968
EV0235,2026-04-05,PRO005,exception,High,10952
EV0236,2026-04-06,PRO026,exception,Medium,32728
EV0237,2026-04-07,PRO003,handoff,Low,35352
EV0238,2026-04-08,PRO004,stakeholder_request,Medium,20806
EV0239,2026-04-09,PRO036,exception,Medium,48184
EV0240,2026-04-10,PRO031,launch,Medium,42148
EV0241,2026-04-11,PRO013,exception,High,22294
EV0242,2026-04-12,PRO032,experiment,Low,13913
EV0243,2026-04-13,PRO033,stakeholder_request,Low,46506
EV0244,2026-04-14,PRO035,qa_check,High,41310
EV0245,2026-04-15,PRO001,handoff,Low,19941
EV0246,2026-04-16,PRO021,qa_check,Medium,49150
EV0247,2026-04-17,PRO020,exception,Medium,19058
EV0248,2026-04-18,PRO021,qa_check,High,34617
EV0249,2026-04-19,PRO028,experiment,Low,49906
EV0250,2026-04-20,PRO024,experiment,Low,14263
EV0251,2026-04-21,PRO034,launch,Medium,9607
EV0252,2026-04-22,PRO020,launch,Medium,25715
EV0253,2026-04-23,PRO026,launch,Low,11542
EV0254,2026-04-24,PRO009,handoff,Medium,29604
EV0255,2026-04-25,PRO014,stakeholder_request,Medium,44270
EV0256,2026-04-26,PRO027,stakeholder_request,High,20715
EV0257,2026-04-27,PRO001,exception,High,45656
EV0258,2026-04-28,PRO033,qa_check,High,39349
EV0259,2026-04-29,PRO008,qa_check,High,31727
EV0260,2026-04-30,PRO032,experiment,Low,31413
EV0261,2026-05-01,PRO030,experiment,High,22733
EV0262,2026-05-02,PRO018,exception,High,20717
EV0263,2026-05-03,PRO019,handoff,Low,23945
EV0264,2026-05-04,PRO013,stakeholder_request,Low,27004
EV0265,2026-05-05,PRO001,launch,Low,9651
EV0266,2026-05-06,PRO032,exception,High,38685
EV0267,2026-05-07,PRO006,launch,Low,13392
EV0268,2026-05-08,PRO001,qa_check,Medium,40305
EV0269,2026-05-09,PRO036,handoff,High,15400
EV0270,2026-05-10,PRO032,stakeholder_request,Low,43215
EV0271,2026-05-11,PRO014,exception,High,39262
EV0272,2026-05-12,PRO003,exception,High,16473
EV0273,2026-05-13,PRO022,launch,Medium,45802
EV0274,2026-05-14,PRO036,qa_check,High,26963
EV0275,2026-05-15,PRO026,experiment,Low,36185
EV0276,2026-05-16,PRO028,experiment,Medium,22222
EV0277,2026-05-17,PRO028,launch,Medium,3730
EV0278,2026-05-18,PRO007,qa_check,High,28504
EV0279,2026-05-19,PRO029,qa_check,Medium,43454
EV0280,2026-05-20,PRO011,handoff,High,43044
EV0281,2026-01-01,PRO020,stakeholder_request,High,1326
EV0282,2026-01-02,PRO030,launch,Low,32552
EV0283,2026-01-03,PRO007,handoff,Medium,2241
EV0284,2026-01-04,PRO021,stakeholder_request,High,37925
EV0285,2026-01-05,PRO025,qa_check,High,2718
EV0286,2026-01-06,PRO014,experiment,High,24673
EV0287,2026-01-07,PRO005,experiment,High,16312
EV0288,2026-01-08,PRO004,qa_check,Low,45566
EV0289,2026-01-09,PRO023,stakeholder_request,High,33243
EV0290,2026-01-10,PRO010,stakeholder_request,Medium,46006
EV0291,2026-01-11,PRO015,exception,Low,46251
EV0292,2026-01-12,PRO024,exception,Medium,33103
EV0293,2026-01-13,PRO009,launch,Low,28161
EV0294,2026-01-14,PRO023,exception,Low,41985
EV0295,2026-01-15,PRO005,experiment,Low,15676
EV0296,2026-01-16,PRO010,stakeholder_request,Medium,2320
EV0297,2026-01-17,PRO021,exception,Medium,41879
EV0298,2026-01-18,PRO011,handoff,High,20054
EV0299,2026-01-19,PRO022,handoff,Medium,20460
EV0300,2026-01-20,PRO033,qa_check,Medium,44375
EV0301,2026-01-21,PRO030,experiment,High,45164
EV0302,2026-01-22,PRO013,stakeholder_request,High,1387
EV0303,2026-01-23,PRO002,exception,Low,22947
EV0304,2026-01-24,PRO012,stakeholder_request,Low,34014
EV0305,2026-01-25,PRO036,qa_check,Low,31365
EV0306,2026-01-26,PRO006,qa_check,Medium,24108
EV0307,2026-01-27,PRO019,qa_check,Medium,9670
EV0308,2026-01-28,PRO032,qa_check,Medium,44791
EV0309,2026-01-29,PRO030,qa_check,High,19632
EV0310,2026-01-30,PRO003,experiment,Medium,43505
EV0311,2026-01-31,PRO021,qa_check,Low,46075
EV0312,2026-02-01,PRO015,qa_check,Medium,43287
EV0313,2026-02-02,PRO020,stakeholder_request,High,6635
EV0314,2026-02-03,PRO010,qa_check,High,38257
EV0315,2026-02-04,PRO011,handoff,Medium,22235
EV0316,2026-02-05,PRO033,launch,Medium,46829
EV0317,2026-02-06,PRO023,exception,High,21279
EV0318,2026-02-07,PRO022,exception,High,13644
EV0319,2026-02-08,PRO031,qa_check,High,16569
EV0320,2026-02-09,PRO017,handoff,High,23709
EV0321,2026-02-10,PRO027,launch,Medium,24929
EV0322,2026-02-11,PRO011,exception,High,4771
EV0323,2026-02-12,PRO019,exception,Low,41563
EV0324,2026-02-13,PRO036,launch,High,50900
EV0325,2026-02-14,PRO017,experiment,Low,17622
EV0326,2026-02-15,PRO033,qa_check,Medium,28288
EV0327,2026-02-16,PRO016,qa_check,Low,46990
EV0328,2026-02-17,PRO003,exception,High,8278
EV0329,2026-02-18,PRO005,launch,High,41292
EV0330,2026-02-19,PRO003,qa_check,High,34101
EV0331,2026-02-20,PRO012,exception,High,26121
EV0332,2026-02-21,PRO030,handoff,High,45340
EV0333,2026-02-22,PRO023,launch,Medium,28483
EV0334,2026-02-23,PRO009,launch,Low,11601
EV0335,2026-02-24,PRO015,handoff,High,18954
EV0336,2026-02-25,PRO020,launch,High,17921
EV0337,2026-02-26,PRO007,qa_check,High,11572
EV0338,2026-02-27,PRO022,stakeholder_request,Medium,44376
EV0339,2026-02-28,PRO007,qa_check,Medium,12427
EV0340,2026-03-01,PRO029,qa_check,Low,6417
EV0341,2026-03-02,PRO011,stakeholder_request,Medium,22987
EV0342,2026-03-03,PRO034,experiment,Low,4429
EV0343,2026-03-04,PRO009,qa_check,Medium,46634
EV0344,2026-03-05,PRO033,qa_check,High,9998
EV0345,2026-03-06,PRO012,experiment,Low,46923
EV0346,2026-03-07,PRO007,launch,Medium,18904
EV0347,2026-03-08,PRO003,stakeholder_request,Low,12053
EV0348,2026-03-09,PRO001,handoff,High,1330
EV0349,2026-03-10,PRO022,handoff,High,22566
EV0350,2026-03-11,PRO022,launch,High,9795
EV0351,2026-03-12,PRO033,qa_check,Medium,13256
EV0352,2026-03-13,PRO030,stakeholder_request,Medium,32795
EV0353,2026-03-14,PRO034,qa_check,Low,1805
EV0354,2026-03-15,PRO009,experiment,Low,6174
EV0355,2026-03-16,PRO016,qa_check,Low,11630
EV0356,2026-03-17,PRO013,handoff,Medium,33706
EV0357,2026-03-18,PRO024,qa_check,Medium,49456
EV0358,2026-03-19,PRO002,experiment,Medium,44402
EV0359,2026-03-20,PRO029,qa_check,Low,34599
EV0360,2026-03-21,PRO028,handoff,Medium,19530
EV0361,2026-03-22,PRO012,handoff,Medium,40479
EV0362,2026-03-23,PRO016,experiment,Low,16855
EV0363,2026-03-24,PRO006,stakeholder_request,High,24339
EV0364,2026-03-25,PRO009,experiment,Medium,43602
EV0365,2026-03-26,PRO020,handoff,Low,23696
EV0366,2026-03-27,PRO010,stakeholder_request,Medium,35634
EV0367,2026-03-28,PRO028,launch,Medium,47000
EV0368,2026-03-29,PRO029,launch,Medium,45849
EV0369,2026-03-30,PRO028,handoff,High,19013
EV0370,2026-03-31,PRO022,handoff,Low,23794
EV0371,2026-04-01,PRO020,handoff,Medium,38419
EV0372,2026-04-02,PRO035,handoff,Low,10504
EV0373,2026-04-03,PRO009,launch,High,20634
EV0374,2026-04-04,PRO018,exception,High,27554
EV0375,2026-04-05,PRO005,qa_check,High,13348
EV0376,2026-04-06,PRO028,experiment,Medium,20829
EV0377,2026-04-07,PRO020,experiment,Low,51781
EV0378,2026-04-08,PRO030,experiment,Medium,13520
EV0379,2026-04-09,PRO016,stakeholder_request,Low,17162
EV0380,2026-04-10,PRO015,stakeholder_request,Medium,4830
EV0381,2026-04-11,PRO026,handoff,Medium,13417
EV0382,2026-04-12,PRO004,qa_check,Low,26404
EV0383,2026-04-13,PRO024,handoff,Low,26088
EV0384,2026-04-14,PRO007,launch,Medium,47477
EV0385,2026-04-15,PRO030,exception,High,47960
EV0386,2026-04-16,PRO012,stakeholder_request,Medium,37740
EV0387,2026-04-17,PRO036,stakeholder_request,High,1915
EV0388,2026-04-18,PRO008,experiment,High,33425
EV0389,2026-04-19,PRO032,exception,Low,27501
EV0390,2026-04-20,PRO027,stakeholder_request,Medium,606
EV0391,2026-04-21,PRO020,stakeholder_request,Medium,49719
EV0392,2026-04-22,PRO010,exception,Low,10728
EV0393,2026-04-23,PRO026,launch,Medium,20530
EV0394,2026-04-24,PRO023,launch,Medium,7341
EV0395,2026-04-25,PRO035,qa_check,High,9080
EV0396,2026-04-26,PRO025,qa_check,Low,39564
EV0397,2026-04-27,PRO023,qa_check,Medium,37645
EV0398,2026-04-28,PRO007,qa_check,Low,35263
EV0399,2026-04-29,PRO018,handoff,Medium,23797
EV0400,2026-04-30,PRO036,qa_check,Medium,40948
EV0401,2026-05-01,PRO013,exception,Low,34779
EV0402,2026-05-02,PRO013,experiment,Medium,1390
EV0403,2026-05-03,PRO018,qa_check,Medium,30113
EV0404,2026-05-04,PRO032,qa_check,High,5954
EV0405,2026-05-05,PRO028,stakeholder_request,Medium,19413
EV0406,2026-05-06,PRO018,stakeholder_request,High,23157
EV0407,2026-05-07,PRO021,stakeholder_request,Low,17429
EV0408,2026-05-08,PRO034,handoff,Low,50433
EV0409,2026-05-09,PRO028,qa_check,High,2298
EV0410,2026-05-10,PRO014,experiment,High,9634
EV0411,2026-05-11,PRO006,handoff,Medium,31525
EV0412,2026-05-12,PRO019,experiment,Low,6230
EV0413,2026-05-13,PRO003,launch,Medium,674
EV0414,2026-05-14,PRO031,qa_check,Low,25247
EV0415,2026-05-15,PRO016,exception,Low,23279
EV0416,2026-05-16,PRO017,handoff,High,42407
EV0417,2026-05-17,PRO035,exception,High,41484
EV0418,2026-05-18,PRO028,experiment,Medium,35498
EV0419,2026-05-19,PRO002,launch,High,6383
EV0420,2026-05-20,PRO002,launch,High,50457
EV0421,2026-01-01,PRO010,handoff,High,10099
EV0422,2026-01-02,PRO026,handoff,High,13177
EV0423,2026-01-03,PRO002,handoff,Low,9066
EV0424,2026-01-04,PRO023,handoff,High,8025
EV0425,2026-01-05,PRO033,qa_check,Low,14035
EV0426,2026-01-06,PRO031,experiment,High,44588
EV0427,2026-01-07,PRO022,handoff,Medium,25807
EV0428,2026-01-08,PRO022,stakeholder_request,Medium,33629
EV0429,2026-01-09,PRO001,stakeholder_request,Medium,25669
EV0430,2026-01-10,PRO026,exception,Low,23766
EV0431,2026-01-11,PRO033,experiment,Low,20561
EV0432,2026-01-12,PRO005,qa_check,High,29372
EV0433,2026-01-13,PRO019,handoff,Low,39959
EV0434,2026-01-14,PRO002,qa_check,Low,16191
EV0435,2026-01-15,PRO031,qa_check,High,32972
EV0436,2026-01-16,PRO001,exception,Low,44670
EV0437,2026-01-17,PRO036,handoff,Low,26165
EV0438,2026-01-18,PRO024,launch,Low,4514
EV0439,2026-01-19,PRO035,stakeholder_request,Medium,27094
EV0440,2026-01-20,PRO016,handoff,Low,21962
EV0441,2026-01-21,PRO022,stakeholder_request,Medium,34065
EV0442,2026-01-22,PRO003,launch,Low,46271
EV0443,2026-01-23,PRO006,handoff,Medium,49108
EV0444,2026-01-24,PRO030,experiment,High,5934
EV0445,2026-01-25,PRO028,handoff,Medium,42675
EV0446,2026-01-26,PRO021,handoff,Low,19603
EV0447,2026-01-27,PRO022,experiment,Medium,24545
EV0448,2026-01-28,PRO025,stakeholder_request,Medium,43738
EV0449,2026-01-29,PRO001,exception,Medium,14967
EV0450,2026-01-30,PRO030,exception,Medium,38474
EV0451,2026-01-31,PRO016,experiment,Medium,19000
EV0452,2026-02-01,PRO012,exception,High,33706
EV0453,2026-02-02,PRO032,experiment,Medium,4090
EV0454,2026-02-03,PRO027,experiment,Medium,43891
EV0455,2026-02-04,PRO024,exception,High,35353
EV0456,2026-02-05,PRO028,qa_check,High,37574
EV0457,2026-02-06,PRO020,stakeholder_request,Low,2085
EV0458,2026-02-07,PRO013,launch,Low,13124
EV0459,2026-02-08,PRO034,handoff,High,16987
EV0460,2026-02-09,PRO016,launch,Low,26198
EV0461,2026-02-10,PRO029,exception,Medium,46107
EV0462,2026-02-11,PRO020,stakeholder_request,Low,14419
EV0463,2026-02-12,PRO015,launch,Low,5508
EV0464,2026-02-13,PRO007,handoff,Medium,37273
EV0465,2026-02-14,PRO031,launch,Low,15643
EV0466,2026-02-15,PRO035,launch,Low,4225
EV0467,2026-02-16,PRO018,launch,High,40962
EV0468,2026-02-17,PRO030,stakeholder_request,High,24053
EV0469,2026-02-18,PRO001,handoff,High,47729
EV0470,2026-02-19,PRO025,qa_check,High,36405
EV0471,2026-02-20,PRO023,exception,Medium,10557
EV0472,2026-02-21,PRO008,qa_check,Low,13068
EV0473,2026-02-22,PRO024,launch,High,25170
EV0474,2026-02-23,PRO007,handoff,Medium,7961
EV0475,2026-02-24,PRO010,exception,Low,12376
EV0476,2026-02-25,PRO031,exception,Medium,4344
EV0477,2026-02-26,PRO033,experiment,Low,43260
EV0478,2026-02-27,PRO036,stakeholder_request,Medium,22748
EV0479,2026-02-28,PRO019,handoff,High,49601
EV0480,2026-03-01,PRO030,stakeholder_request,Medium,26122
EV0481,2026-03-02,PRO021,exception,Low,999
EV0482,2026-03-03,PRO024,handoff,Low,34196
EV0483,2026-03-04,PRO036,handoff,High,33730
EV0484,2026-03-05,PRO020,exception,High,35074
EV0485,2026-03-06,PRO030,experiment,Low,16312
EV0486,2026-03-07,PRO018,launch,Low,3027
EV0487,2026-03-08,PRO026,qa_check,High,45295
EV0488,2026-03-09,PRO024,launch,Low,22526
EV0489,2026-03-10,PRO006,stakeholder_request,Medium,17268
EV0490,2026-03-11,PRO013,stakeholder_request,Medium,3474
EV0491,2026-03-12,PRO029,handoff,Medium,28083
EV0492,2026-03-13,PRO026,stakeholder_request,Low,17674
EV0493,2026-03-14,PRO004,exception,High,2800
EV0494,2026-03-15,PRO017,handoff,Low,20500
EV0495,2026-03-16,PRO012,handoff,Medium,49851
EV0496,2026-03-17,PRO005,handoff,Medium,39303
EV0497,2026-03-18,PRO036,launch,High,45921
EV0498,2026-03-19,PRO012,handoff,High,4518
EV0499,2026-03-20,PRO008,exception,High,48048
EV0500,2026-03-21,PRO030,stakeholder_request,Medium,47506
EV0501,2026-03-22,PRO034,experiment,High,39444
EV0502,2026-03-23,PRO013,stakeholder_request,Low,29106
EV0503,2026-03-24,PRO034,qa_check,Medium,39033
EV0504,2026-03-25,PRO009,exception,High,49904
EV0505,2026-03-26,PRO019,exception,High,8204
EV0506,2026-03-27,PRO032,qa_check,Medium,36730
