week,site_id,active_students,attendance_rate,engagement_rate,homework_completion_rate,sports_wellness_participation_rate,family_touchpoints,staff_coverage_rate,incident_rate_per_100,pre_post_assessment_gain,budget_utilization_rate,data_completeness_rate
2026-W17,SITE-008,256,0.581,0.656,0.655,0.532,46,0.945,0.35,0.192,0.867,0.911
2026-W18,SITE-008,282,0.642,0.594,0.609,0.617,56,0.888,2.2,0.156,0.887,0.851
2026-W19,SITE-008,317,0.714,0.616,0.615,0.468,71,0.927,0.82,0.104,0.915,0.91
2026-W20,SITE-008,245,0.612,0.697,0.646,0.584,33,0.902,2.07,0.173,0.987,0.846
2026-W21,SITE-008,272,0.614,0.594,0.71,0.533,48,0.885,1.87,0.168,0.991,0.934
2026-W08,SITE-009,252,0.694,0.595,0.721,0.463,28,0.723,3.29,0.202,1.006,0.869
2026-W09,SITE-009,210,0.663,0.613,0.72,0.607,41,0.85,2.17,0.158,0.933,0.876
2026-W10,SITE-009,239,0.686,0.612,0.722,0.579,35,0.819,2.25,0.17,1.04,0.881
2026-W11,SITE-009,244,0.722,0.607,0.69,0.498,44,0.781,2.19,0.169,0.898,0.778
2026-W12,SITE-009,275,0.772,0.726,0.776,0.607,44,0.769,1.43,0.134,0.865,0.895
2026-W13,SITE-009,229,0.675,0.686,0.791,0.627,54,0.8,2.91,0.184,0.986,0.859
2026-W14,SITE-009,289,0.854,0.557,0.665,0.316,34,0.838,2.7,0.155,0.951,0.852
2026-W15,SITE-009,279,0.83,0.746,0.72,0.649,28,0.718,2.76,0.164,0.984,0.787
2026-W16,SITE-009,248,0.722,0.645,0.645,0.516,48,0.905,0.44,0.136,0.87,0.846
2026-W17,SITE-009,238,0.672,0.538,0.775,0.576,45,0.838,1.36,0.096,0.879,0.816
2026-W18,SITE-009,249,0.778,0.606,0.656,0.553,44,0.835,2.14,0.186,0.904,0.85
2026-W19,SITE-009,237,0.692,0.755,0.724,0.547,24,0.834,1.19,0.103,0.925,0.867
2026-W20,SITE-009,265,0.768,0.707,0.68,0.42,47,0.884,2.04,0.126,1.035,0.841
2026-W21,SITE-009,251,0.738,0.703,0.723,0.71,44,0.909,0.93,0.15,0.972,0.835
2026-W08,SITE-010,171,0.718,0.81,0.815,0.699,29,0.801,1.02,0.119,0.853,0.926
2026-W09,SITE-010,176,0.688,0.788,0.792,0.844,36,0.949,1.57,0.161,0.976,0.906
2026-W10,SITE-010,183,0.737,0.765,0.774,0.825,39,0.732,1.92,0.173,0.973,0.874
2026-W11,SITE-010,161,0.666,0.744,0.732,0.789,29,0.889,1.76,0.151,0.945,0.866
2026-W12,SITE-010,196,0.773,0.612,0.694,0.883,14,0.8,1.37,0.12,0.937,0.954
2026-W13,SITE-010,201,0.769,0.725,0.853,0.665,13,0.879,2.43,0.202,0.9,0.875
2026-W14,SITE-010,186,0.729,0.819,0.751,0.773,34,0.851,1.07,0.167,0.822,0.892
2026-W15,SITE-010,199,0.752,0.777,0.744,0.71,28,0.771,2.88,0.195,0.887,0.872
2026-W16,SITE-010,192,0.764,0.742,0.901,0.833,21,0.81,1.22,0.151,0.963,0.815
2026-W17,SITE-010,162,0.64,0.74,0.779,0.797,44,0.879,1.5,0.138,0.919,0.886
2026-W18,SITE-010,215,0.739,0.726,0.681,0.746,44,0.884,2.13,0.191,0.807,0.867
2026-W19,SITE-010,187,0.718,0.752,0.809,0.802,28,0.943,1.78,0.145,0.883,0.954
2026-W20,SITE-010,161,0.659,0.799,0.791,0.789,24,0.805,2.09,0.168,0.968,0.788
2026-W21,SITE-010,169,0.664,0.677,0.724,0.656,11,0.948,1.34,0.155,0.99,0.967
2026-W08,SITE-011,152,0.674,0.643,0.671,0.528,28,0.859,1.76,0.144,0.891,0.897
2026-W09,SITE-011,138,0.648,0.551,0.573,0.404,20,0.868,1.79,0.154,0.879,0.886
2026-W10,SITE-011,146,0.667,0.515,0.714,0.617,24,0.934,1.79,0.194,0.898,0.837
2026-W11,SITE-011,136,0.569,0.57,0.64,0.582,32,0.86,2.24,0.164,0.886,0.842
2026-W12,SITE-011,160,0.728,0.669,0.677,0.529,30,0.838,2.86,0.15,0.953,0.94
2026-W13,SITE-011,157,0.692,0.548,0.742,0.633,36,0.818,2.75,0.216,0.946,0.881
2026-W14,SITE-011,145,0.657,0.598,0.551,0.648,42,0.723,1.96,0.154,0.944,0.88
2026-W15,SITE-011,151,0.668,0.593,0.731,0.699,43,0.908,1.96,0.153,0.874,0.89
2026-W16,SITE-011,137,0.614,0.64,0.686,0.546,9,0.972,1.17,0.142,1.017,0.86
2026-W17,SITE-011,155,0.683,0.624,0.696,0.575,22,0.821,2.07,0.212,0.996,0.952
2026-W18,SITE-011,141,0.601,0.581,0.601,0.603,8,0.743,2.89,0.218,0.889,0.871
2026-W19,SITE-011,139,0.613,0.672,0.74,0.655,39,0.847,1.62,0.123,0.796,0.96
2026-W20,SITE-011,157,0.638,0.668,0.718,0.589,23,0.918,0.93,0.143,0.864,0.918
2026-W21,SITE-011,148,0.684,0.573,0.714,0.525,8,0.898,1.77,0.133,0.841,0.925
2026-W08,SITE-012,137,0.781,0.669,0.749,0.651,18,0.882,1.5,0.203,0.976,0.862
2026-W09,SITE-012,119,0.724,0.635,0.819,0.547,31,0.841,2.17,0.168,1.01,0.909
2026-W10,SITE-012,139,0.776,0.69,0.729,0.566,27,0.874,0.59,0.163,0.908,0.907
2026-W11,SITE-012,136,0.753,0.71,0.765,0.432,24,0.735,2.25,0.18,0.813,0.904
2026-W12,SITE-012,125,0.752,0.65,0.781,0.442,11,0.83,3.41,0.127,0.705,0.863
2026-W13,SITE-012,117,0.656,0.642,0.737,0.635,15,0.814,2.49,0.18,0.953,0.917
2026-W14,SITE-012,135,0.806,0.674,0.66,0.51,36,0.795,2.47,0.163,0.857,0.913
2026-W15,SITE-012,134,0.792,0.579,0.741,0.666,26,0.928,1.21,0.153,0.822,0.87
2026-W16,SITE-012,132,0.818,0.686,0.827,0.614,28,0.926,2.29,0.191,0.921,0.887
2026-W17,SITE-012,132,0.753,0.677,0.615,0.663,32,0.93,2.43,0.146,0.879,0.943
2026-W18,SITE-012,137,0.822,0.799,0.738,0.458,20,0.964,1.51,0.197,0.904,0.944
2026-W19,SITE-012,149,0.803,0.695,0.678,0.639,24,0.845,1.23,0.141,0.838,0.886
2026-W20,SITE-012,158,0.828,0.612,0.63,0.567,41,0.87,0.46,0.194,0.925,0.88
2026-W21,SITE-012,130,0.745,0.759,0.614,0.647,30,0.87,1.36,0.116,1.024,0.914
2026-W08,SITE-013,364,0.796,0.579,0.799,0.593,96,0.92,1.79,0.147,0.898,0.804
2026-W09,SITE-013,344,0.718,0.679,0.703,0.53,47,0.835,2.51,0.16,0.829,0.907
2026-W10,SITE-013,368,0.732,0.672,0.816,0.589,77,0.846,2.24,0.19,0.901,0.82
2026-W11,SITE-013,371,0.793,0.538,0.577,0.615,70,0.834,2.17,0.133,0.97,0.872
2026-W12,SITE-013,366,0.713,0.71,0.798,0.418,84,0.882,2.11,0.179,0.794,0.853
2026-W13,SITE-013,344,0.742,0.56,0.737,0.551,80,0.79,2.15,0.199,0.875,0.832
2026-W14,SITE-013,339,0.74,0.558,0.714,0.542,65,0.71,2.2,0.145,0.905,0.797
2026-W15,SITE-013,339,0.771,0.587,0.674,0.58,75,0.8,1.69,0.177,1.023,0.871
2026-W16,SITE-013,353,0.805,0.621,0.672,0.577,53,0.771,2.14,0.164,0.945,0.806
2026-W17,SITE-013,368,0.769,0.725,0.645,0.616,59,0.85,2.79,0.144,0.865,0.883
2026-W18,SITE-013,366,0.815,0.631,0.644,0.516,72,0.875,2.21,0.152,0.876,0.846
2026-W19,SITE-013,398,0.873,0.752,0.762,0.391,87,0.835,1.83,0.147,1.016,0.895
2026-W20,SITE-013,370,0.812,0.643,0.731,0.477,93,0.819,1.5,0.127,0.956,0.871
2026-W21,SITE-013,359,0.766,0.575,0.594,0.552,60,0.854,1.47,0.133,0.899,0.916
2026-W08,SITE-014,117,0.623,0.589,0.689,0.592,33,0.921,1.15,0.15,0.848,0.893
2026-W09,SITE-014,120,0.648,0.515,0.68,0.482,22,0.77,2.42,0.123,0.85,0.803
2026-W10,SITE-014,136,0.675,0.546,0.706,0.565,28,0.873,2.02,0.134,0.968,0.857
2026-W11,SITE-014,132,0.7,0.642,0.701,0.501,17,0.808,1.18,0.179,0.897,0.836
2026-W12,SITE-014,128,0.714,0.576,0.681,0.492,38,0.862,1.36,0.166,0.924,0.841
2026-W13,SITE-014,119,0.683,0.584,0.778,0.53,27,0.896,2.12,0.204,0.93,0.883
2026-W14,SITE-014,128,0.699,0.565,0.68,0.561,24,0.787,1.56,0.132,0.952,0.826
2026-W15,SITE-014,128,0.688,0.524,0.788,0.549,10,0.739,1.26,0.178,0.888,0.841
2026-W16,SITE-014,134,0.712,0.563,0.697,0.629,9,0.747,2.2,0.139,0.893,0.854
2026-W17,SITE-014,135,0.737,0.632,0.731,0.43,33,0.936,1.2,0.198,0.849,0.909
2026-W18,SITE-014,140,0.716,0.75,0.706,0.582,8,0.726,2.45,0.22,0.939,0.798
2026-W19,SITE-014,113,0.578,0.684,0.672,0.597,30,0.836,2.28,0.128,0.879,0.892
2026-W20,SITE-014,130,0.677,0.568,0.799,0.532,19,0.897,2.32,0.158,0.88,0.884
2026-W21,SITE-014,114,0.659,0.593,0.565,0.455,14,0.759,2.42,0.138,0.97,0.836
2026-W08,SITE-015,218,0.734,0.62,0.595,0.477,55,0.813,1.45,0.109,0.892,0.875
2026-W09,SITE-015,183,0.666,0.612,0.691,0.387,38,0.812,1.52,0.142,0.956,0.824
2026-W10,SITE-015,217,0.716,0.618,0.725,0.594,38,0.836,2.2,0.121,0.854,0.819
2026-W11,SITE-015,214,0.765,0.617,0.749,0.557,24,0.735,2.16,0.152,0.904,0.887
2026-W12,SITE-015,197,0.622,0.675,0.776,0.452,33,0.738,2.52,0.131,1.023,0.861
2026-W13,SITE-015,231,0.713,0.615,0.824,0.51,40,0.743,1.99,0.144,0.931,0.865
2026-W14,SITE-015,223,0.773,0.62,0.783,0.635,18,0.798,1.48,0.162,0.934,0.848
2026-W15,SITE-015,209,0.728,0.663,0.669,0.493,44,0.851,1.83,0.203,0.902,0.769
2026-W16,SITE-015,204,0.685,0.646,0.623,0.552,43,0.795,2.57,0.134,0.842,0.922
2026-W17,SITE-015,186,0.642,0.719,0.757,0.559,32,0.673,2.64,0.161,0.921,0.856
2026-W18,SITE-015,215,0.753,0.737,0.707,0.583,34,0.824,2.72,0.134,0.897,0.848
2026-W19,SITE-015,212,0.711,0.608,0.701,0.551,37,0.746,2.33,0.149,0.88,0.851
2026-W20,SITE-015,211,0.805,0.578,0.63,0.503,22,0.826,2.34,0.105,0.894,0.775
2026-W21,SITE-015,217,0.763,0.721,0.742,0.582,18,0.849,1.66,0.155,0.893,0.883
2026-W08,SITE-016,160,0.766,0.574,0.654,0.556,42,0.837,1.12,0.144,0.893,0.82
2026-W09,SITE-016,146,0.681,0.75,0.786,0.523,23,0.918,2.41,0.188,0.962,0.819
2026-W10,SITE-016,134,0.647,0.674,0.72,0.553,25,0.829,2.02,0.225,0.965,0.819
2026-W11,SITE-016,160,0.806,0.703,0.766,0.506,14,0.838,2.27,0.142,0.897,0.822
2026-W12,SITE-016,143,0.708,0.66,0.717,0.45,50,0.858,2.7,0.151,0.889,0.947
2026-W13,SITE-016,136,0.653,0.64,0.762,0.504,44,0.806,1.77,0.179,0.965,0.954
2026-W14,SITE-016,151,0.748,0.709,0.764,0.654,26,0.778,1.89,0.168,0.849,0.859
2026-W15,SITE-016,149,0.71,0.724,0.757,0.424,21,0.932,1.57,0.121,0.931,0.889
2026-W16,SITE-016,117,0.612,0.653,0.694,0.61,38,0.928,2.1,0.151,0.874,0.868
2026-W17,SITE-016,144,0.741,0.728,0.799,0.434,37,0.766,1.83,0.164,0.825,0.929
2026-W18,SITE-016,136,0.717,0.705,0.695,0.505,43,0.886,2.24,0.105,0.856,0.828
2026-W19,SITE-016,138,0.703,0.589,0.716,0.709,14,0.882,1.08,0.172,0.833,0.861
2026-W20,SITE-016,142,0.68,0.687,0.719,0.582,8,0.922,1.49,0.185,0.953,0.896
2026-W21,SITE-016,125,0.621,0.645,0.714,0.493,19,0.898,1.27,0.155,0.93,0.881
2026-W08,SITE-017,237,0.723,0.692,0.725,0.807,69,0.795,2.51,0.206,0.951,0.886
2026-W09,SITE-017,267,0.771,0.81,0.774,0.849,36,0.856,1.47,0.213,0.941,0.853
2026-W10,SITE-017,261,0.759,0.775,0.7,0.918,55,0.779,2.29,0.128,0.8,0.822
2026-W11,SITE-017,267,0.756,0.716,0.665,0.787,35,0.794,2.91,0.207,0.952,0.871
2026-W12,SITE-017,249,0.668,0.778,0.854,0.755,24,0.869,1.61,0.177,1.022,0.775
2026-W13,SITE-017,219,0.615,0.769,0.647,0.817,38,0.927,1.36,0.207,0.815,0.856
2026-W14,SITE-017,266,0.701,0.851,0.88,0.798,61,0.86,1.72,0.183,0.959,0.844
2026-W15,SITE-017,257,0.743,0.825,0.72,0.715,57,0.884,2.1,0.151,0.883,0.826
2026-W16,SITE-017,234,0.599,0.72,0.761,0.777,34,0.842,1.37,0.144,0.905,0.862
2026-W17,SITE-017,260,0.753,0.753,0.809,0.669,47,0.811,1.19,0.17,0.914,0.883
2026-W18,SITE-017,270,0.769,0.781,0.835,0.743,51,0.917,1.97,0.167,0.951,0.862
2026-W19,SITE-017,243,0.67,0.733,0.712,0.768,65,0.865,1.59,0.117,1.017,0.885
2026-W20,SITE-017,263,0.682,0.787,0.675,0.896,48,0.726,1.9,0.147,0.879,0.888
2026-W21,SITE-017,291,0.831,0.763,0.78,0.846,49,0.837,2.93,0.178,0.974,0.943
2026-W08,SITE-018,253,0.657,0.625,0.707,0.545,64,0.799,1.39,0.2,0.872,0.793
2026-W09,SITE-018,252,0.657,0.535,0.799,0.71,45,0.836,1.89,0.169,0.963,0.852
2026-W10,SITE-018,306,0.634,0.639,0.726,0.531,44,0.868,2.06,0.116,0.901,0.803
2026-W11,SITE-018,288,0.687,0.561,0.672,0.488,57,0.786,2.55,0.154,0.906,0.846
2026-W12,SITE-018,289,0.72,0.542,0.546,0.581,49,0.872,1.19,0.174,0.893,0.914
2026-W13,SITE-018,299,0.68,0.66,0.637,0.523,45,0.816,1.53,0.157,0.877,0.825
2026-W14,SITE-018,245,0.561,0.54,0.695,0.395,31,0.791,2.51,0.179,0.896,0.841
2026-W15,SITE-018,295,0.682,0.563,0.746,0.679,53,0.799,2.2,0.177,1.024,0.865
2026-W16,SITE-018,259,0.728,0.626,0.594,0.571,29,0.86,1.77,0.149,0.973,0.832
2026-W17,SITE-018,259,0.65,0.56,0.785,0.501,42,0.916,1.45,0.097,0.926,0.861
2026-W18,SITE-018,308,0.752,0.678,0.749,0.604,63,0.799,1.62,0.2,0.892,0.838
2026-W19,SITE-018,269,0.674,0.61,0.695,0.45,28,0.897,1.56,0.169,1.005,0.896
2026-W20,SITE-018,305,0.721,0.701,0.767,0.511,47,0.744,3.7,0.138,1.051,0.812
2026-W21,SITE-018,269,0.669,0.577,0.651,0.573,63,0.913,1.35,0.17,0.977,0.868
2026-W08,SITE-019,270,0.592,0.51,0.696,0.389,42,0.852,2.28,0.099,0.952,0.882
2026-W09,SITE-019,264,0.629,0.798,0.707,0.629,28,0.83,2.18,0.173,0.932,0.899
2026-W10,SITE-019,299,0.66,0.708,0.698,0.625,66,0.774,1.5,0.15,0.956,0.881
2026-W11,SITE-019,267,0.678,0.631,0.718,0.557,42,0.888,1.08,0.157,0.978,0.852
2026-W12,SITE-019,224,0.57,0.627,0.664,0.521,31,0.866,1.34,0.117,0.913,0.892
2026-W13,SITE-019,262,0.597,0.637,0.8,0.718,68,0.797,1.74,0.178,0.989,0.847
2026-W14,SITE-019,266,0.657,0.59,0.761,0.453,61,0.86,2.05,0.167,0.88,0.904
2026-W15,SITE-019,266,0.593,0.676,0.788,0.482,21,0.845,1.66,0.169,0.865,0.804
2026-W16,SITE-019,267,0.57,0.537,0.598,0.561,69,0.99,1.25,0.159,0.94,0.874
2026-W17,SITE-019,286,0.681,0.677,0.776,0.56,53,0.783,1.79,0.17,0.858,0.912
2026-W18,SITE-019,305,0.71,0.809,0.801,0.383,35,0.876,1.19,0.165,0.957,0.934
2026-W19,SITE-019,315,0.711,0.703,0.594,0.495,71,0.975,1.43,0.173,0.894,0.929
2026-W20,SITE-019,259,0.592,0.643,0.661,0.511,42,0.806,1.5,0.123,1.0,0.862
